16001,2
16002,1
16003,0
16004,0
16005,1
16006,0
16007,0
16008,0
16009,1
16010,0
16011,2
16012,2
16013,3
16014,1
16015,1
16016,0
16017,0
16018,1
16019,0
16020,1
16021,0
16022,0
16023,0
16024,1
16025,0
16026,1
16027,1
16028,1
16029,1
16030,1
16031,1
16032,1
16033,1
16034,1
16035,1
16036,1
16037,0
16038,1
16039,1
16040,1
16041,2
16042,1
16043,2
16044,2
16045,0
16046,0
16047,0
16048,1
16049,0
16050,0
16051,2
16052,1
16053,1
16054,1
16055,1
16056,2
16057,1
16058,1
16059,1
16060,1
16061,0
16062,2
16063,1
16064,1
16065,1
16066,0
16067,1
16068,1
16069,0
16070,1
16071,3
16072,0
16073,2
16074,1
16075,2
16076,1
16077,1
16078,1
16079,1
16080,1
16081,1
16082,1
16083,2
16084,1
16085,1
16086,1
16087,2
16088,1
16089,2
16090,1
16091,0
16092,0
16093,1
16094,1
16095,0
16096,1
16097,0
16098,0
16099,1
16100,1
16101,2
16102,1
16103,0
16104,2
16105,0
16106,0
16107,0
16108,2
16109,0
16110,1
16111,2
16112,0
16113,0
16114,0
16115,0
16116,0
16117,0
16118,0
16119,0
16120,0
16121,0
16122,0
16123,0
16124,0
16125,1
16126,1
16127,1
16128,1
16129,1
16130,1
16131,1
16132,1
16133,1
16134,2
16135,1
16136,1
16137,1
16138,1
16139,1
16140,1
16141,1
16142,1
16143,1
16144,0
16145,0
16146,0
16147,0
16148,1
16149,0
16150,0
16151,2
16152,0
16153,1
16154,2
16155,0
16156,1
16157,1
16158,1
16159,0
16160,0
16161,1
16162,2
16163,0
16164,2
16165,1
16166,1
16167,2
16168,1
16169,2
16170,0
16171,1
16172,1
16173,2
16174,1
16175,1
16176,1
16177,0
16178,1
16179,1
16180,1
16181,1
16182,1
16183,0
16184,1
16185,0
16186,0
16187,2
16188,1
16189,1
16190,0
16191,1
16192,2
16193,1
16194,1
16195,1
16196,1
16197,2
16198,1
16199,2
16200,0
16201,1
16202,1
16203,1
16204,1
16205,1
16206,1
16207,1
16208,1
16209,1
16210,1
16211,1
16212,1
16213,1
16214,1
16215,0
16216,0
16217,2
16218,1
16219,0
16220,1
16221,1
16222,0
16223,1
16224,1
16225,1
16226,1
16227,0
16228,0
16229,1
16230,2
16231,2
16232,1
16233,1
16234,1
16235,2
16236,1
16237,3
16238,1
16239,2
16240,0
16241,0
16242,0
16243,1
16244,2
16245,2
16246,1
16247,2
16248,1
16249,1
16250,1
16251,1
16252,1
16253,1
16254,1
16255,1
16256,1
16257,0
16258,0
16259,0
16260,0
16261,0
16262,0
16263,2
16264,1
16265,1
16266,0
16267,1
16268,1
16269,2
16270,1
16271,1
16272,2
16273,0
16274,0
16275,0
16276,2
16277,0
16278,0
16279,0
16280,1
16281,1
16282,1
16283,1
16284,0
16285,1
16286,1
16287,2
16288,0
16289,0
16290,1
16291,1
16292,1
16293,0
16294,0
16295,0
16296,1
16297,1
16298,0
16299,1
16300,1
16301,1
16302,1
16303,1
16304,2
16305,2
16306,1
16307,1
16308,1
16309,2
16310,1
16311,1
16312,1
16313,1
16314,1
16315,1
16316,1
16317,1
16318,1
16319,1
16320,1
16321,1
16322,1
16323,1
16324,1
16325,0
16326,0
16327,0
16328,0
16329,0
16330,0
16331,0
16332,1
16333,2
16334,1
16335,2
16336,1
16337,1
16338,1
16339,1
16340,1
16341,1
