00001,0
00002,1
00003,2
00004,1
00005,1
00006,1
00007,0
00008,2
00009,2
00010,1
00011,2
00012,1
00013,0
00014,2
00015,1
00016,1
00017,1
00018,2
00019,1
00020,0
00021,0
00022,1
00023,1
00024,1
00025,1
00026,1
00027,1
00028,2
00029,1
00030,1
00031,0
00032,1
00033,1
00034,1
00035,1
00036,1
00037,1
00038,2
00039,0
00040,1
00041,2
00042,1
00043,1
00044,1
00045,1
00046,1
00047,1
00048,1
00049,1
00050,1
00051,1
00052,1
00053,2
00054,0
00055,1
00056,1
00057,2
00058,0
00059,2
00060,2
00061,2
00062,2
00063,1
00064,0
00065,2
00066,0
00067,1
00068,1
00069,2
00070,0
00071,1
00072,1
00073,1
00074,0
00075,1
00076,1
00077,1
00078,1
00079,1
00080,1
00081,1
00082,1
00083,1
00084,1
00085,0
00086,1
00087,1
00088,1
00089,1
00090,1
00091,1
00092,1
00093,1
00094,1
00095,1
00096,2
00097,1
00098,1
00099,2
00100,1
00101,1
00102,0
00103,2
00104,1
00105,1
00106,1
00107,1
00108,1
00109,1
00110,0
00111,1
00112,1
00113,1
00114,2
00115,1
00116,1
00117,0
00118,2
00119,0
00120,0
00121,1
00122,1
00123,1
00124,2
00125,1
00126,1
00127,1
00128,1
00129,1
00130,1
00131,1
00132,1
00133,1
00134,2
00135,1
00136,0
00137,2
00138,1
00139,1
00140,1
00141,1
00142,1
00143,1
00144,1
00145,1
00146,1
00147,1
00148,1
00149,1
00150,1
00151,1
00152,0
00153,1
00154,1
00155,1
00156,1
00157,1
00158,1
00159,1
00160,1
00161,1
00162,1
00163,1
00164,0
00165,1
00166,1
00167,1
00168,1
00169,1
00170,1
00171,0
00172,0
00173,1
00174,0
00175,1
00176,1
00177,0
00178,2
00179,0
00180,0
00181,1
00182,1
00183,2
00184,1
00185,1
00186,1
00187,1
00188,2
00189,1
00190,2
00191,1
00192,1
00193,1
00194,2
00195,1
00196,0
00197,1
00198,1
00199,1
00200,1
00201,2
00202,1
00203,0
00204,1
00205,1
00206,1
00207,1
00208,1
00209,2
00210,2
00211,1
00212,1
00213,0
00214,0
00215,2
00216,1
00217,1
00218,0
00219,1
00220,1
00221,1
00222,1
00223,2
00224,2
00225,1
00226,1
00227,1
00228,0
00229,1
00230,1
00231,0
00232,1
00233,1
00234,1
00235,1
00236,1
00237,0
00238,1
00239,0
00240,1
00241,1
00242,1
00243,0
00244,0
00245,0
00246,0
00247,1
00248,1
00249,1
00250,0
00251,1
00252,0
00253,1
00254,1
00255,1
00256,0
00257,2
00258,1
00259,1
00260,1
00261,1
00262,0
00263,1
00264,0
00265,1
00266,1
00267,0
00268,0
00269,1
00270,0
00271,1
00272,1
00273,1
00274,0
00275,1
00276,2
00277,0
00278,0
00279,1
00280,2
00281,1
00282,1
00283,1
00284,1
00285,0
00286,1
00287,2
00288,1
00289,1
00290,1
00291,1
00292,0
00293,0
00294,0
00295,0
00296,1
00297,1
00298,0
00299,1
00300,0
00301,0
00302,1
00303,1
00304,0
00305,1
00306,1
00307,1
00308,1
00309,1
00310,1
00311,1
00312,0
00313,1
00314,2
00315,0
00316,0
00317,1
00318,1
00319,2
00320,0
00321,0
00322,0
00323,1
00324,1
00325,0
00326,1
00327,0
00328,2
00329,1
00330,2
00331,1
00332,1
00333,1
00334,0
00335,1
00336,1
00337,0
00338,2
00339,1
00340,2
00341,2
00342,1
00343,2
00344,1
00345,0
00346,0
00347,1
00348,1
00349,1
00350,1
00351,0
00352,0
00353,1
00354,1
00355,1
00356,1
00357,2
00358,1
00359,1
00360,2
00361,0
00362,1
00363,1
00364,1
00365,0
00366,1
00367,2
00368,0
00369,1
00370,0
00371,1
00372,1
00373,1
00374,1
00375,1
00376,1
00377,1
00378,2
00379,1
00380,0
00381,1
00382,2
00383,1
00384,1
00385,0
00386,1
00387,2
00388,1
00389,1
00390,1
00391,1
00392,0
00393,1
00394,2
00395,1
00396,1
00397,0
00398,1
00399,1
00400,2
00401,1
00402,2
00403,1
00404,0
00405,1
00406,1
00407,1
00408,1
00409,2
00410,0
00411,1
00412,1
00413,0
00414,2
00415,1
00416,2
00417,1
00418,1
00419,1
00420,0
00421,0
00422,2
00423,1
00424,2
00425,0
00426,0
00427,1
00428,1
00429,0
00430,1
00431,1
00432,0
00433,2
00434,1
00435,0
00436,1
00437,1
00438,1
00439,2
